Landing type,Timestamp (s),Phase
Comp,1742669290.9468513,Run-up Phase Start
Comp,1742669289.9912546,Static Phase Start
Comp,1742669294.320802,Injump Phase Start
Comp,1742669294.7105145,Loading Phase Start
Comp,1742669294.7905927,Rebound Phase Start
Comp,1742669294.9027016,Flight Phase Start
Comp,1742669296.135902,Landing Phase Start
Comp,1742669297.102176,Landing Phase End
Comp,1742669381.0769243,Run-up Phase Start
Comp,1742669380.0092185,Static Phase Start
Comp,1742669385.8097446,Injump Phase Start
Comp,1742669386.2047958,Loading Phase Start
Comp,1742669386.2688582,Rebound Phase Start
Comp,1742669386.3863058,Flight Phase Start
Comp,1742669387.64086,Landing Phase Start
Comp,1742669389.002185,Landing Phase End
Comp,1742669464.5256145,Run-up Phase Start
Comp,1742669463.2763984,Static Phase Start
Comp,1742669468.9754925,Injump Phase Start
Comp,1742669469.3758821,Loading Phase Start
Comp,1742669469.4559603,Rebound Phase Start
Comp,1742669469.5573924,Flight Phase Start
Comp,1742669470.9133787,Landing Phase Start
Comp,1742669471.9490535,Landing Phase End
Comp,1742669597.5894232,Run-up Phase Start
Comp,1742669596.6284878,Static Phase Start
Comp,1742669601.692297,Injump Phase Start
Comp,1742669602.1033638,Loading Phase Start
Comp,1742669602.178103,Rebound Phase Start
Comp,1742669602.2741966,Flight Phase Start
Comp,1742669603.7049224,Landing Phase Start
Comp,1742669604.8260138,Landing Phase End
Comp,1742669766.4969735,Run-up Phase Start
Comp,1742669765.1783566,Static Phase Start
Comp,1742669770.5251074,Injump Phase Start
Comp,1742669770.9361742,Loading Phase Start
Comp,1742669771.0109136,Rebound Phase Start
Comp,1742669771.1176844,Flight Phase Start
Comp,1742669772.5537486,Landing Phase Start
Comp,1742669775.2817373,Landing Phase End
Soft,1742670131.3888276,Run-up Phase Start
Soft,1742670130.2772322,Static Phase Start
Soft,1742670135.5145907,Injump Phase Start
Soft,1742670135.8905716,Loading Phase Start
Soft,1742670135.9614086,Rebound Phase Start
Soft,1742670136.0703886,Flight Phase Start
Soft,1742670137.5361688,Landing Phase Start
Soft,1742670139.7321148,Landing Phase End
Soft,1742670201.8740067,Run-up Phase Start
Soft,1742670200.5281043,Static Phase Start
Soft,1742670206.2000744,Injump Phase Start
Soft,1742670206.5836837,Loading Phase Start
Soft,1742670206.6577902,Rebound Phase Start
Soft,1742670206.7580516,Flight Phase Start
Soft,1742670208.174791,Landing Phase Start
Soft,1742670209.4389584,Landing Phase End
Soft,1742670275.8574414,Run-up Phase Start
Soft,1742670274.6586618,Static Phase Start
Soft,1742670280.1835093,Injump Phase Start
Soft,1742670280.5845556,Loading Phase Start
Soft,1742670280.6586618,Rebound Phase Start
Soft,1742670280.7676418,Flight Phase Start
Soft,1742670282.1887405,Landing Phase Start
Soft,1742670283.7449741,Landing Phase End
Soft,1742670394.484294,Run-up Phase Start
Soft,1742670393.385776,Static Phase Start
Soft,1742670398.5270143,Injump Phase Start
Soft,1742670398.9062643,Loading Phase Start
Soft,1742670398.9934483,Rebound Phase Start
Soft,1742670399.09371,Flight Phase Start
Soft,1742670400.5409636,Landing Phase Start
Soft,1742670402.1015565,Landing Phase End
Soft,1742670638.1128905,Run-up Phase Start
Soft,1742670636.892315,Static Phase Start
Soft,1742670642.201818,Injump Phase Start
Soft,1742670642.5897865,Loading Phase Start
Soft,1742670642.685689,Rebound Phase Start
Soft,1742670642.7772322,Flight Phase Start
Soft,1742670644.2305887,Landing Phase Start
Soft,1742670645.9219575,Landing Phase End
Semi,1742670864.9111495,Run-up Phase Start
Semi,1742670863.4921653,Static Phase Start
Semi,1742670869.1042476,Injump Phase Start
Semi,1742670869.5172355,Loading Phase Start
Semi,1742670869.6019511,Rebound Phase Start
Semi,1742670869.7078454,Flight Phase Start
Semi,1742670871.1215348,Landing Phase Start
Semi,1742670872.2810779,Landing Phase End
Semi,1742670983.2644925,Run-up Phase Start
Semi,1742670981.81374,Static Phase Start
Semi,1742670987.5320346,Injump Phase Start
Semi,1742670987.9238436,Loading Phase Start
Semi,1742670987.9979696,Rebound Phase Start
Semi,1742670988.103864,Flight Phase Start
Semi,1742670989.5013514,Landing Phase Start
Semi,1742670991.063293,Landing Phase End
Semi,1742671171.802065,Run-up Phase Start
Semi,1742671170.2718916,Static Phase Start
Semi,1742671175.86809,Injump Phase Start
Semi,1742671176.2810779,Loading Phase Start
Semi,1742671176.3499093,Rebound Phase Start
Semi,1742671176.466393,Flight Phase Start
Semi,1742671177.9171455,Landing Phase Start
Semi,1742671178.9654996,Landing Phase End
Semi,1742671359.0421145,Run-up Phase Start
Semi,1742671357.792561,Static Phase Start
Semi,1742671363.0502152,Injump Phase Start
Semi,1742671363.4579086,Loading Phase Start
Semi,1742671363.542624,Rebound Phase Start
Semi,1742671363.637929,Flight Phase Start
Semi,1742671365.0992708,Landing Phase Start
Semi,1742671366.6767786,Landing Phase End
Comp,1742669221.671683,Run-up Phase Start
Comp,1742669235.2614071,Injump Phase Start
Comp,1742669235.7049031,Loading Phase Start
Comp,1742669235.7802138,Rebound Phase Start
Comp,1742669235.9057317,Flight Phase Start
Comp,1742669237.111037,Landing Phase Start
Comp,1742669237.964558,Landing Phase End
