Landing type,Timestamp (ms),Phase
Comp,1742930100.2900858,Run-up Phase Start
Comp,1742930098.8692575,Static Phase Start
Comp,1742930103.4106455,Injump Phase Start
Comp,1742930103.8579433,Loading Phase Start
Comp,1742930103.947403,Rebound Phase Start
Comp,1742930104.0736988,Flight Phase Start
Comp,1742930105.284034,Landing Phase Start
Comp,1742930106.527206,Landing Phase End
Comp,1742930198.7370677,Run-up Phase Start
Comp,1742930197.3688626,Static Phase Start
Comp,1742930202.2483027,Injump Phase Start
Comp,1742930202.6745512,Loading Phase Start
Comp,1742930202.7587485,Rebound Phase Start
Comp,1742930202.8745198,Flight Phase Start
Comp,1742930204.0848548,Landing Phase Start
Comp,1742930205.29519,Landing Phase End
Comp,1742930310.8212647,Run-up Phase Start
Comp,1742930309.4109612,Static Phase Start
Comp,1742930314.8061094,Injump Phase Start
Comp,1742930315.2428825,Loading Phase Start
Comp,1742930315.3218174,Rebound Phase Start
Comp,1742930315.442851,Flight Phase Start
Comp,1742930316.6952848,Landing Phase Start
Comp,1742930318.0213912,Landing Phase End
Comp,1742930467.253407,Run-up Phase Start
Comp,1742930466.2483025,Static Phase Start
Comp,1742930471.147529,Injump Phase Start
Comp,1742930471.5843022,Loading Phase Start
Comp,1742930471.6579747,Rebound Phase Start
Comp,1742930471.7790082,Flight Phase Start
Comp,1742930473.078803,Landing Phase Start
Comp,1742930474.300926,Landing Phase End
Comp,1742930642.7587485,Run-up Phase Start
Comp,1742930641.706283,Static Phase Start
Comp,1742930646.3634424,Injump Phase Start
Comp,1742930646.805478,Loading Phase Start
Comp,1742930646.884413,Rebound Phase Start
Comp,1742930646.9949217,Flight Phase Start
Comp,1742930648.3210282,Landing Phase Start
Comp,1742930649.4471662,Landing Phase End
Comp,1742930839.51063,Run-up Phase Start
Comp,1742930838.210835,Static Phase Start
Comp,1742930843.2902436,Injump Phase Start
Comp,1742930843.7112298,Loading Phase Start
Comp,1742930843.7901647,Rebound Phase Start
Comp,1742930843.9006734,Flight Phase Start
Comp,1742930845.1846812,Landing Phase Start
Comp,1742930846.4318528,Landing Phase End
Soft,1742931121.63491,Run-up Phase Start
Soft,1742931120.6325493,Static Phase Start
Soft,1742931125.440058,Injump Phase Start
Soft,1742931125.8804016,Loading Phase Start
Soft,1742931125.9557235,Rebound Phase Start
Soft,1742931126.0773973,Flight Phase Start
Soft,1742931127.537484,Landing Phase Start
Soft,1742931129.0902746,Landing Phase End
Soft,1742931231.5374842,Run-up Phase Start
Soft,1742931230.2743933,Static Phase Start
Soft,1742931235.487482,Injump Phase Start
Soft,1742931235.9046497,Loading Phase Start
Soft,1742931235.9683836,Rebound Phase Start
Soft,1742931236.0958514,Flight Phase Start
Soft,1742931237.4110882,Landing Phase Start
Soft,1742931239.0681705,Landing Phase End
Soft,1742931458.3591595,Run-up Phase Start
Soft,1742931457.1598027,Static Phase Start
Soft,1742931462.1179552,Injump Phase Start
Soft,1742931462.5351229,Loading Phase Start
Soft,1742931462.6046507,Rebound Phase Start
Soft,1742931462.7205307,Flight Phase Start
Soft,1742931464.0415616,Landing Phase Start
Soft,1742931465.484266,Landing Phase End
Soft,1742931677.0576546,Run-up Phase Start
Soft,1742931676.0031476,Static Phase Start
Soft,1742931680.6557252,Injump Phase Start
Soft,1742931681.0439227,Loading Phase Start
Soft,1742931681.1192448,Rebound Phase Start
Soft,1742931681.2409186,Flight Phase Start
Soft,1742931682.5793314,Landing Phase Start
Soft,1742931684.5419888,Landing Phase End
Soft,1742931825.8319058,Run-up Phase Start
Soft,1742931824.0879135,Static Phase Start
Soft,1742931829.4864101,Injump Phase Start
Soft,1742931829.9035778,Loading Phase Start
Soft,1742931829.9788997,Rebound Phase Start
Soft,1742931830.0889857,Flight Phase Start
Soft,1742931831.4158103,Landing Phase Start
Soft,1742931833.2583005,Landing Phase End
Semi,1742932068.863906,Run-up Phase Start
Semi,1742932067.3851922,Static Phase Start
Semi,1742932072.6277325,Injump Phase Start
Semi,1742932073.0171447,Loading Phase Start
Semi,1742932073.085555,Rebound Phase Start
Semi,1742932073.2013261,Flight Phase Start
Semi,1742932074.516908,Landing Phase Start
Semi,1742932076.8744304,Landing Phase End
Semi,1742932180.5639532,Run-up Phase Start
Semi,1742932178.6853025,Static Phase Start
Semi,1742932184.7171924,Injump Phase Start
Semi,1742932185.1066046,Loading Phase Start
Semi,1742932185.1908019,Rebound Phase Start
Semi,1742932185.2960484,Flight Phase Start
Semi,1742932186.6168923,Landing Phase Start
Semi,1742932188.3271487,Landing Phase End
Semi,1742932307.2115355,Run-up Phase Start
Semi,1742932306.1327584,Static Phase Start
Semi,1742932310.8162293,Injump Phase Start
Semi,1742932311.2056415,Loading Phase Start
Semi,1742932311.2898388,Rebound Phase Start
Semi,1742932311.389823,Flight Phase Start
Semi,1742932312.7066674,Landing Phase Start
Semi,1742932314.0643477,Landing Phase End
Semi,1742932449.611788,Run-up Phase Start
Semi,1742932448.3961904,Static Phase Start
Semi,1742932453.3269908,Injump Phase Start
Semi,1742932453.7269278,Loading Phase Start
Semi,1742932453.8111248,Rebound Phase Start
Semi,1742932453.9216337,Flight Phase Start
Semi,1742932455.2582648,Landing Phase Start
Semi,1742932456.811914,Landing Phase End
Semi,1742932564.2113774,Run-up Phase Start
Semi,1742932562.9905176,Static Phase Start
Semi,1742932568.0278275,Injump Phase Start
Semi,1742932568.422502,Loading Phase Start
Semi,1742932568.48565,Rebound Phase Start
Semi,1742932568.6066835,Flight Phase Start
Semi,1742932569.980151,Landing Phase Start
Semi,1742932572.4534445,Landing Phase End
