Landing type,Timestamp (ms),Phase
Comp,1743358286.572329,Run-up Phase Start
Comp,1743358285.232967,Static Phase Start
Comp,1743358291.397935,Injump Phase Start
Comp,1743358291.8197813,Loading Phase Start
Comp,1743358291.9146967,Rebound Phase Start
Comp,1743358292.0201583,Flight Phase Start
Comp,1743358293.3067896,Landing Phase Start
Comp,1743358294.5406904,Landing Phase End
Comp,1743358349.528259,Run-up Phase Start
Comp,1743358348.0359776,Static Phase Start
Comp,1743358354.2642229,Injump Phase Start
Comp,1743358354.6649768,Loading Phase Start
Comp,1743358354.7546191,Rebound Phase Start
Comp,1743358354.870627,Flight Phase Start
Comp,1743358356.1678045,Landing Phase Start
Comp,1743358357.3542476,Landing Phase End
Comp,1743358433.7738264,Run-up Phase Start
Comp,1743358432.7086644,Static Phase Start
Comp,1743358437.9553785,Injump Phase Start
Comp,1743358438.377225,Loading Phase Start
Comp,1743358438.4668672,Rebound Phase Start
Comp,1743358438.5617826,Flight Phase Start
Comp,1743358440.0013335,Landing Phase Start
Comp,1743358441.0092301,Landing Phase End
Comp,1743358551.231464,Run-up Phase Start
Comp,1743358549.85519,Static Phase Start
Comp,1743358555.5033965,Injump Phase Start
Comp,1743358555.9146967,Loading Phase Start
Comp,1743358556.004339,Rebound Phase Start
Comp,1743358556.1045277,Flight Phase Start
Comp,1743358557.5388052,Landing Phase Start
Comp,1743358558.661971,Landing Phase End
Comp,1743358704.2288141,Run-up Phase Start
Comp,1743358703.1531057,Static Phase Start
Comp,1743358708.4050932,Injump Phase Start
Comp,1743358708.8058472,Loading Phase Start
Comp,1743358708.8954895,Rebound Phase Start
Comp,1743358709.0062242,Flight Phase Start
Comp,1743358710.440502,Landing Phase Start
Comp,1743358711.5003908,Landing Phase End
Soft,1743359011.0335588,Run-up Phase Start
Soft,1743359009.4127622,Static Phase Start
Soft,1743359015.686719,Injump Phase Start
Soft,1743359016.1182299,Loading Phase Start
Soft,1743359016.1971648,Rebound Phase Start
Soft,1743359016.3024113,Flight Phase Start
Soft,1743359017.6285176,Landing Phase Start
Soft,1743359019.2177403,Landing Phase End
Soft,1743359109.3174086,Run-up Phase Start
Soft,1743359107.9807775,Static Phase Start
Soft,1743359114.0652907,Injump Phase Start
Soft,1743359114.438916,Loading Phase Start
Soft,1743359114.5389001,Rebound Phase Start
Soft,1743359114.6388843,Flight Phase Start
Soft,1743359115.98604,Landing Phase Start
Soft,1743359117.543689,Landing Phase End
Soft,1743359171.6966121,Run-up Phase Start
Soft,1743359170.3862927,Static Phase Start
Soft,1743359176.0919182,Injump Phase Start
Soft,1743359176.5181665,Loading Phase Start
Soft,1743359176.5918393,Rebound Phase Start
Soft,1743359176.7128727,Flight Phase Start
Soft,1743359178.181062,Landing Phase Start
Soft,1743359179.7018745,Landing Phase End
Soft,1743359271.9971962,Run-up Phase Start
Soft,1743359270.51322,Static Phase Start
Soft,1743359276.2017956,Injump Phase Start
Soft,1743359276.580683,Loading Phase Start
Soft,1743359276.6701427,Rebound Phase Start
Soft,1743359276.7753892,Flight Phase Start
Soft,1743359278.2277913,Landing Phase Start
Soft,1743359279.8551133,Landing Phase End
Semi,1743359421.6941829,Run-up Phase Start
Semi,1743359420.167425,Static Phase Start
Semi,1743359426.624339,Injump Phase Start
Semi,1743359427.0272336,Loading Phase Start
Semi,1743359427.1120534,Rebound Phase Start
Semi,1743359427.2233796,Flight Phase Start
Semi,1743359428.5226083,Landing Phase Start
Semi,1743359429.7843041,Landing Phase End
Semi,1743359499.0378363,Run-up Phase Start
Semi,1743359497.3785472,Static Phase Start
Semi,1743359503.8252826,Injump Phase Start
Semi,1743359504.2387795,Loading Phase Start
Semi,1743359504.3235996,Rebound Phase Start
Semi,1743359504.4296243,Flight Phase Start
Semi,1743359505.7549353,Landing Phase Start
Semi,1743359507.1332583,Landing Phase End
Semi,1743359598.7014194,Run-up Phase Start
Semi,1743359597.450326,Static Phase Start
Semi,1743359602.815184,Injump Phase Start
Semi,1743359603.228681,Loading Phase Start
Semi,1743359603.318802,Rebound Phase Start
Semi,1743359603.424827,Flight Phase Start
Semi,1743359604.8777914,Landing Phase Start
Semi,1743359606.1447885,Landing Phase End
Semi,1743359716.4165835,Run-up Phase Start
Semi,1743359714.8951268,Static Phase Start
Semi,1743359720.588662,Injump Phase Start
Semi,1743359721.00746,Loading Phase Start
Semi,1743359721.0816774,Rebound Phase Start
Semi,1743359721.198305,Flight Phase Start
Semi,1743359722.6508455,Landing Phase Start
Semi,1743359723.9606764,Landing Phase End
