test_subject,jump_nr,landing,trial,lower_back_jump_height,lower_back_tof,shin_jump_height,shin_tof,chest_jump_height,chest_tof,thigh_jump_height,thigh_tof,video_jump_height,video_tof
7,2,Competition,Sub max,3.24688561174033,1.2989997860000244,3.306163442998333,1.3174998759999994,3.2764188030553454,1.3082497120000198,3.2175631284332153,1.2897498610000184,2.994,1.292
7,3,Competition,Sub max,3.098931826517185,1.2516253000000006,3.126999886192417,1.2607502940000188,2.8792521031741485,1.1777498719999926,3.1023792902818457,1.252749682000001,2.865,1.258
7,4,Competition,Near max,3.5542556625195063,1.392249822999986,3.614754944178067,1.4098746779999942,3.2764195688571336,1.3082499509999934,3.4907341144430815,1.3735001090000196,3.28,1.392
7,5,Competition,Near max,3.5516987413274705,1.3914999950000038,3.2764203314549034,1.3082501889999776,3.6795194426197675,1.4285001750000106,1.3286824767684777,0.2422502040000154,3.247,1.383
7,6,Soft pit,Sub max,3.493678439243853,1.3743748660000392,1.3497366237191972,0.32475018500008446,3.5253520822498494,1.3837499620000244,1.397392255732221,0.15824961700002405,3.134,1.333
7,7,Soft pit,Sub max,3.1595511154159626,1.2712502480000012,1.341091124734323,0.3062498570000116,3.217564635101523,1.2897503379999762,3.4272460888099996,1.354499816999919,3.164,1.35
7,8,Soft pit,Near max,3.3662839255919392,1.3359999660000312,1.4419502431573858,0.44499993299996277,3.4890513419912734,1.3729999070000076,3.583338617933448,1.4007501600000296,3.43,1.417
7,9,Soft pit,Near max,3.5189995698376615,1.3818747999999914,7.765973463344483,2.3182501800000637,3.6151873368575966,1.409999847999984,3.744692475544313,1.4470002650000424,3.624,1.458
7,10,Semi in Soft pit,Sub max,3.2764195688571336,1.3082499509999934,3.2724169213127405,1.307000159999916,3.3061642142437133,1.3175001150000298,3.2175631284332153,1.2897498610000184,3.002,1.283
7,11,Semi in Soft pit,Sub max,3.273216073111638,1.3072497840000779,3.3328697021524345,1.3257498740001665,3.3966597096996898,1.345249891000094,3.2468871324560995,1.2990002639999148,3.087,1.317
7,12,Semi in Soft pit,Near max,3.2764188030549803,1.3082497119999061,3.709798560297126,1.4371249680000346,3.5202693788623884,1.3822498320000705,3.6459433874094147,1.4188747410000815,3.488,1.425
7,13,Semi in Soft pit,Near max,3.3662839255923114,1.335999966000145,3.7446916316923273,1.4470000270000583,3.424345336752044,1.3536252979999972,3.4592977096874336,1.3641252499999155,3.525,1.442
8,3,Competition,Sub max,3.0985482328591623,1.251500128999993,9.503325668426005,2.606000184999999,1.4330009585355676,0.4357500079999852,3.098931094051278,1.2516250609999986,2.756,1.242
8,4,Competition,Sub max,2.777079583836433,1.141749859000015,3.0430326139930486,1.2332499030000008,2.8792521031741485,1.1777498719999926,3.096632323072191,1.2508747569999912,2.738,1.242
8,5,Competition,Near max,3.6151889812462965,1.4100003240000092,3.647248990418423,1.4192502500000046,1.6237936785118918,0.5958747859999676,2.410808698400044,1.0020000939999818,3.358,1.425
8,6,Competition,Near max,3.650725660331493,1.4202497009999888,3.6151865112087975,1.4099996089999536,1.6396058214792246,0.10312485700001162,3.458043831062068,1.3637499800000228,3.349,1.425
8,7,Soft pit,Sub max,3.277220251599344,1.3084998129999121,6.661230086016109,2.1150000090000276,3.3029379387866884,1.3164999480000006,3.2175631284328565,1.2897498609999047,2.988,1.275
8,8,Soft pit,Sub max,3.0741114592371552,1.2434999939999898,2.6723654540893937,1.1036248209999258,3.1614961906511088,1.2718749040000148,3.3381499783658857,1.3273749349999662,2.979,1.292
8,9,Soft pit,Near max,3.8490008020362003,1.4761252399999876,1.3324421454846482,0.22300004900000658,3.551699556099466,1.3915002339999774,2.4793766321579307,1.029624938999973,3.493,1.45
8,10,Soft pit,Near max,3.9113047493099664,1.4932498929999838,1.336497232539543,0.2127501969999912,3.6151873368575966,1.409999847999984,3.744691631691924,1.4470000269999446,3.594,1.458
8,11,Semi in Soft pit,Sub max,2.908928125095813,1.1879999639998005,4.827453618092269,1.7255001070000162,3.07411073460207,1.2434997560001193,3.191196918138985,1.2813751690000572,3.014,1.292
8,12,Semi in Soft pit,Sub max,2.9631455351662375,1.206500053000127,2.503076578262963,1.0390000350000719,3.273217603538435,1.307250262000025,3.214406708005556,1.2887501719999364,3.238,1.292
8,13,Semi in Soft pit,Near max,3.679517776571961,1.4284996989999854,3.6768939987368254,1.4277498720000494,1.6193822621093896,0.5927500719999443,3.644206433602635,1.4183750150000378,3.497,1.442
8,14,Semi in Soft pit,Near max,3.716846430969733,1.4391250609999133,3.7120003292349137,1.4377501009998923,3.39665970969894,1.3452498909998667,3.5551088171255207,1.3924999239998215,3.475,1.45
9,3,Competition,Sub max,3.148073418385156,1.2619998450000196,4.139192904617502,1.5497498510000014,2.8428522094047004,1.1589999200000136,2.8964661031742303,1.177749872000021,2.914,1.242
9,4,Competition,Sub max,3.4752586328563373,1.3637502200000426,3.3834979255917528,1.3359999659999744,3.4752586328563373,1.3637502200000426,3.413874497271161,1.3452501300000108,3.157,1.333
9,5,Competition,Near max,3.7265718169240536,1.4369997980000448,25.105493059996668,4.415999889999966,3.75968963924997,1.4463748930000406,3.7261327914538445,1.4368751050000128,3.443,1.417
9,6,Competition,Near max,3.3867714315615647,1.3369998939999732,3.4175819943587333,1.3463747509999848,3.769443967881563,1.4491245739999385,3.770332112198183,1.449374675999934,3.455,1.425
9,7,Soft pit,Sub max,3.506266943050943,1.373000382999976,7.218826308643176,2.216750382999976,3.5689135560994663,1.3915002339999774,2.6159504737831054,1.076000213000043,3.498,1.408
9,8,Soft pit,Sub max,3.767227254332602,1.4485001570000122,5.502181530207124,1.8745000359999722,3.445290805243167,1.3547501570000122,3.669681407303983,1.4207501419999744,3.487,1.417
9,9,Soft pit,Near max,3.445290012083012,1.354749917999925,1.383106993349987,0.35249996199991074,3.7667813131270087,1.4483745089999047,3.7340595882007293,1.4391248219999397,3.558,1.442
9,10,Soft pit,Near max,3.5374833788623885,1.3822498320000705,2.2919521955631166,0.9447498320000705,3.6648966073321168,1.419374942000104,3.8265728196874376,1.4651248449999912,3.532,1.442
9,11,Semi in Soft pit,Sub max,3.638451444287206,1.4117500779998409,16.190439937269378,3.49725031700018,3.7024237334400745,1.430124997999883,2.596285775569741,1.0685000419998687,3.519,1.408
9,12,Semi in Soft pit,Sub max,3.2936343282503806,1.3082501879998745,20.334642015794063,3.951000213000043,3.631969766299167,1.4098749160000352,1.377326839558226,0.343249797999988,3.386,1.383
9,13,Semi in Soft pit,Near max,3.600552617933058,1.400750159999916,4.80564523920363,1.716249942999866,3.2664873324753554,1.2997500900000887,3.600552617933058,1.400750159999916,3.632,1.45
9,14,Semi in Soft pit,Near max,3.41387370969969,1.345249891000094,3.383497925591567,1.3359999659999175,3.445290012083012,1.354749917999925,3.831511475558189,1.4664998050000122,3.633,1.458
10,3,Competition,Sub max,3.1143294481227826,1.269625187000031,3.08490519092922,1.2601253980000138,3.1151071045272953,1.269875288000037,3.085676262232635,1.260375262000025,2.872,1.242
10,4,Competition,Sub max,3.2959527509936772,1.326750039999979,3.2659966717530926,1.317499636999969,3.2362535688571334,1.3082499509999934,3.1773978801879994,1.2897500990000026,3.033,1.308
