Landing type,Timestamp (s),Phase
Comp,1742496511.8136623,Run-up Phase Start
Comp,1742496510.797204,Static Phase Start
Comp,1742496514.5049064,Injump Phase Start
Comp,1742496514.8788366,Loading Phase Start
Comp,1742496514.9683692,Rebound Phase Start
Comp,1742496515.0631685,Flight Phase Start
Comp,1742496516.2376254,Landing Phase Start
Comp,1742496517.7596793,Landing Phase End
Comp,1742496544.7859826,Run-up Phase Start
Comp,1742496544.0717819,Static Phase Start
Comp,1742496547.6163335,Injump Phase Start
Comp,1742496547.9866598,Loading Phase Start
Comp,1742496548.0660152,Rebound Phase Start
Comp,1742496548.1771133,Flight Phase Start
Comp,1742496549.3357055,Landing Phase Start
Comp,1742496550.7852683,Landing Phase End
Comp,1742496621.7738671,Run-up Phase Start
Comp,1742496620.616862,Static Phase Start
Comp,1742496625.5972216,Injump Phase Start
Comp,1742496625.968606,Loading Phase Start
Comp,1742496626.0590713,Rebound Phase Start
Comp,1742496626.154298,Flight Phase Start
Comp,1742496627.4112914,Landing Phase Start
Comp,1742496628.4016497,Landing Phase End
Comp,1742496694.7652705,Run-up Phase Start
Comp,1742496693.8764873,Static Phase Start
Comp,1742496698.5856357,Injump Phase Start
Comp,1742496698.9538457,Loading Phase Start
Comp,1742496699.0469565,Rebound Phase Start
Comp,1742496699.1358347,Flight Phase Start
Comp,1742496700.3758988,Landing Phase Start
Comp,1742496701.3323987,Landing Phase End
Comp,1742496787.8873062,Run-up Phase Start
Comp,1742496786.7361205,Static Phase Start
Comp,1742496792.1069229,Injump Phase Start
Comp,1742496792.4915595,Loading Phase Start
Comp,1742496792.5762055,Rebound Phase Start
Comp,1742496792.6756644,Flight Phase Start
Comp,1742496794.0998337,Landing Phase Start
Comp,1742496795.3166199,Landing Phase End
Comp,1742496890.4290273,Run-up Phase Start
Comp,1742496889.1815567,Static Phase Start
Comp,1742496894.6448746,Injump Phase Start
Comp,1742496895.0067363,Loading Phase Start
Comp,1742496895.0765693,Rebound Phase Start
Comp,1742496895.1813188,Flight Phase Start
Comp,1742496896.6001973,Landing Phase Start
Comp,1742496898.312044,Landing Phase End
Soft,1742497167.3987598,Run-up Phase Start
Soft,1742497166.6486943,Static Phase Start
Soft,1742497171.2235699,Injump Phase Start
Soft,1742497171.5645087,Loading Phase Start
Soft,1742497171.6379418,Rebound Phase Start
Soft,1742497171.7480912,Flight Phase Start
Soft,1742497173.0226781,Landing Phase Start
Soft,1742497174.6749206,Landing Phase End
Soft,1742497250.1682327,Run-up Phase Start
Soft,1742497248.9303622,Static Phase Start
Soft,1742497254.0664756,Injump Phase Start
Soft,1742497254.4283955,Loading Phase Start
Soft,1742497254.5123188,Rebound Phase Start
Soft,1742497254.6067328,Flight Phase Start
Soft,1742497255.9075458,Landing Phase Start
Soft,1742497257.3027725,Landing Phase End
Soft,1742497349.6993105,Run-up Phase Start
Soft,1742497348.6712487,Static Phase Start
Soft,1742497354.0423474,Injump Phase Start
Soft,1742497354.393777,Loading Phase Start
Soft,1742497354.4777002,Rebound Phase Start
Soft,1742497354.5668688,Flight Phase Start
Soft,1742497356.0208423,Landing Phase Start
Soft,1742497357.631123,Landing Phase End
Soft,1742497449.6804278,Run-up Phase Start
Soft,1742497448.6208947,Static Phase Start
Soft,1742497454.0559852,Injump Phase Start
Soft,1742497454.4283955,Loading Phase Start
Soft,1742497454.5123188,Rebound Phase Start
Soft,1742497454.611978,Flight Phase Start
Soft,1742497456.0753925,Landing Phase Start
Soft,1742497457.7695966,Landing Phase End
Semi,1742497565.202606,Run-up Phase Start
Semi,1742497564.2060153,Static Phase Start
Semi,1742497568.9959445,Injump Phase Start
Semi,1742497569.3526192,Loading Phase Start
Semi,1742497569.4312973,Rebound Phase Start
Semi,1742497569.541447,Flight Phase Start
Semi,1742497570.8370147,Landing Phase Start
Semi,1742497572.0066972,Landing Phase End
Semi,1742497628.148318,Run-up Phase Start
Semi,1742497626.8107886,Static Phase Start
Semi,1742497631.973128,Injump Phase Start
Semi,1742497632.335048,Loading Phase Start
Semi,1742497632.408481,Rebound Phase Start
Semi,1742497632.513385,Flight Phase Start
Semi,1742497633.8194435,Landing Phase Start
Semi,1742497634.8002985,Landing Phase End
Semi,1742497720.2773504,Run-up Phase Start
Semi,1742497718.9293303,Static Phase Start
Semi,1742497724.5679352,Injump Phase Start
Semi,1742497724.9351,Loading Phase Start
Semi,1742497725.008533,Rebound Phase Start
Semi,1742497725.1186826,Flight Phase Start
Semi,1742497726.5716069,Landing Phase Start
Semi,1742497728.6025536,Landing Phase End
Semi,1742497825.3893356,Run-up Phase Start
Semi,1742497823.7423384,Static Phase Start
Semi,1742497829.695656,Injump Phase Start
Semi,1742497830.0680664,Loading Phase Start
Semi,1742497830.136254,Rebound Phase Start
Semi,1742497830.2411582,Flight Phase Start
Semi,1742497831.700377,Landing Phase Start
Semi,1742497833.074623,Landing Phase End
